id,Цена,Число комнат,Тип жилья,Общая площадь,Адресс,Название ЖК,Описание,Ссылка,Год постройки,Этаж квартиры,Этажей в доме,Высота потолков,Санузел,Вид из окон,Ремонт,Строительная серия,Количество лифтов,Тип перекрытий,Парковка,Подъезды,Отопление,Аварийность,Цена за метр,Условия сделки,Ипотека,Жилая площадь,Площадь кухни,Балкон/лоджия,Тип дома,Газоснабжение,Мусоропровод,Год сдачи,Отделка,Дом
289078598,17 500 000,3,Вторичка,62,"Москва, ЮАО, р-н Нагатинский затон, Затонная ул., 2",,"Свободная продажа! 
Один взрослый собственник! 
Полная стоимость в договоре! 
Без обременений! 
Подходит для ипотеки! 

В продаже прекрасная , обустроенная, 3-комнатная квартира с изолированными комнатами. 
Общая площадь 62 кв. метра . 
Остекленная лоджия . Окна квартиры на две стороны. 

Готовы оставить всю мебель и технику! 


Во дворе есть детская и спортивная площадка. 
 
Пешая доступность до метро . 

Развитая инфраструктура: гипермаркеты, более 5 детских садов и школ , многофункциональные центры, медицинские учреждения.",https://www.cian.ru/sale/flat/289078598/,1979.0,7,12,"2,64",1 совмещенный,,Евроремонт,,2 пассажирских,Железобетонные,Наземная,8.0,Центральное,Нет,282 258 ₽/м²,свободная продажа,возможна,43,,1 лоджия,Панельный,,Да,,,
289079874,24 000 000,2,Вторичка,47,"Москва, ЗАО, р-н Дорогомилово, Кутузовский просп., 21",,"Предлагается на продажу квартира на Кутузовском проспекте в здании кинотеатра ПИОНЕР. Максимально престижная локация. ВИДОВАЯ! Высокий этаж, парковка во дворе за шлагбаумом, ЛОКАЦИЯ ЦЕНТР, 3 станции метро в шаговой доступности, квартира не имеет несущих стен, готова к любым перепланировкам, шикарный вид, незначительной площади французский балкон, кухня без окна, комфортная по площади ванная комната, можно сделать open spase,  щадящие комунальные платежи. Продажа в связи с изменившимися жизненными планами. Полная стоимость в договоре. Никто не прописан и не живет. Готова даже к смелому  дизайн проекту. Готовы к сделке! Свободная продажа, просмотры оперативны",https://www.cian.ru/sale/flat/289079874/,1953.0,11,12,"3,1",1 совмещенный,На улицу,Косметический,Индивидуальный проект,1 пассажирский,Нет информации,Наземная,2.0,Центральное,Нет,510 638 ₽/м²,свободная продажа,возможна,,,1 балкон,,,Да,,,
289080032,20 500 000,2,Вторичка,"53,1","Москва, ЗАО, р-н Кунцево, Рублевское ш., 89",,"Квартира 2-ка распашонка, окна на 2 стороны
Высокий этаж
3 лифта
2 изолированные комнаты
Раздельный санузел, отдельная постирочная
Входная металлическая дверь
Окна стеклопакеты
Свежий ремонт
Панорамное остекление на балконе

Один собственник, в собственности свыше 3 лет
Полная стоимость в договоре
Быстрый выход на сделку",https://www.cian.ru/sale/flat/289080032/,2009.0,22,22,,1 раздельный,На улицу и двор,Евроремонт,,3 пассажирских,Нет информации,,5.0,Центральное,Нет,386 064 ₽/м²,свободная продажа,возможна,"30,2","8,4",1 балкон,Монолитно-кирпичный,,Да,,,
289079709,11 900 000,2,Вторичка,"44,9","Москва, ЮВАО, р-н Кузьминки, Окская ул., 38",,"Предлагаем Вашему вниманию прекрасную квартиру!!
Квартира  площадью  44,9 кв. м.  расположенную на 12 этаже в отличном доме.

Стильная квартира с ремонтом, ждёт нового владельца.

реновация 2029-2032 год (последняя очередь)
На этаже 4 квартиры, в двух живут семейные пары; квартира, которая рядом с нашей, пустая- никто не живёт) 
Только закончили ремонт.

Планировка: кухня+ гостиная с  балконом и отдельно комната с гардеробной.
Окна пластиковые.
В комнатах и на кухне на стенах обои  на полу ламинат. Потолки натяжные везде. 

Один собственник по ДКП с 2012 года. 
Заменили всю электропроводку в квартире, трубы в стояке новые, в квартире газ.
Один с/у совмещённый, стены и пол выложены плиткой (ванная, раковина, туалет- всё новое)
Обслуживает дом УК "" Управдом Кузьминки"" платёж 6000 в месяц без электроэнергии. 
Во дворе садик, школа, магазины, педагогический колледж, институты.
До метро Окская 7 минут пешком.

Хорошие соседи, отличные, доброжелательные собственники. 

Звоните и мы ответим на любые Ваши вопросы, поможем с решением.",https://www.cian.ru/sale/flat/289079709/,1963.0,5,5,,1 совмещенный,Во двор,Дизайнерский,,,Железобетонные,Наземная,1.0,Центральное,Нет,265 033 ₽/м²,свободная продажа,возможна,,,1 лоджия,Кирпичный,Центральное,Нет,,,
289080055,16 000 000,3,Вторичка,59,"Москва, СВАО, р-н Северное Медведково, Широкая ул., 21",,"Уютная, светлая, пушистая, игристая",https://www.cian.ru/sale/flat/289080055/,1972.0,1,9,"2,64",1 совмещенный,На улицу и двор,Косметический,II-49,1 пассажирский,Нет информации,,8.0,Центральное,Нет,271 186 ₽/м²,альтернатива,возможна,36,6,1 лоджия,,Центральное,Да,,,
289079074,22 999 990,3,Вторичка,117,"Москва, НАО (Новомосковский), Рязановское поселение, Ерино поселок, 2А",,"Продается 3-х ком. квартира, новая Москва. Дом сдан в декабре 2007 года, постройка по индивидуальному проекту для себя кооперативом. Квартира на 2-ом (фактически на 3) этаже, окна на 3 стороны: восток, юг, запад. Стены кирпичные, крыша черепица. В доме индивидуальное газовое отопление. Площадь помещения: общая 117,4 кв.м; жилая 78 кв.м; кухня 16 кв.м. Потолки- 2,96м. Пол в комнатах из паркетной доски; пол в ванной, душевой и кухне - плитка с ""теплым полом"". В квартире остается вся мебель: встроенные шкафы и в спальне  гарнитур; техника, кондиционер, интернет. Зал- 29 кв.м, детская- 17 кв.м, спальня 25 кв.м с лоджией 6 кв.м, с/у с душевой кабиной- 4 кв.м, с/у с ванной- 7 кв.м. Чистый подъезд, широкая лестница, перила из дуба. На 1-ом этаже квартира консьержки и дворника; велосипедная и колясочная комнаты; комната для собраний собственников (кабинет председателя); туалет. В доме 24 квартиры. Лифт с панорамным остеклением Schindler. Закрытая благоустроенная территория (ворота с пульта), большая парковка. У дома своя детская площадка, полностью крытая беседка, зона барбекю. Сосед (50м) санаторий ""Ерино"" с источником минеральной воды, с возможностью принятия процедур, 3 бассейна и красивый парк. Рядом магазины, школа, детский сад, школа искусств, спортивный комплекс, фитнес-центр, остановка московского автобуса, автобусы до ст. Подольск.  В 2,6 км (деревня Ерино) находится храм Покрова Пресвятой Богородицы. Собственников 3. Все взрослые. Отличное место для достойной жизни!",https://www.cian.ru/sale/flat/289079074/,2008.0,3,6,3,"1 совмещенный, 1 раздельный",На улицу и двор,Евроремонт,,1 пассажирский,Железобетонные,Наземная,1.0,Котел/Квартирное отопление,Нет,196 581 ₽/м²,свободная продажа,возможна,78,16,1 лоджия,Кирпичный,Центральное,,,,
289078961,23 000 000,1,Вторичка,"50,9","Москва, ЗАО, р-н Можайский, ул. Багрицкого, 10к4",ЖК «Клубный Дом Концепт House»,"ЖК Концепт Хаус - Клубный монолитный дом с огороженной благоустроенной территорией с детской площадкой, своей вертолетной площадкой, подземным паркингом, . Большая однокомнатная квартира с отдельно выделенной спальней -12 кв м. и темной комнатой. Очень качественный ремонт! Вся Техника премиальных брендов. Мебель - по желанию. Прекрасная квартира в очень уютном, утопающим в зелени месте. Рядом парки, школы, детские сады. Метро в 5 минутах пешком. Свободная продажа. Показ по договоренности",https://www.cian.ru/sale/flat/289078961/,2017.0,3,11,"3,1",1 совмещенный,Во двор,Дизайнерский,Индивидуальный проект,"1 пассажирский, 1 грузовой",Железобетонные,Подземная,1.0,Центральное,Нет,451 866 ₽/м²,свободная продажа,возможна,24,"12,5",1 балкон,Монолитный,,,,,
289080072,8 300 000,0,Вторичка Апартаменты,15,"Москва, ЦАО, р-н Пресненский, ул. Сергея Макеева, 1",,"Уютная студия с современным ремонтом  в 5 минутах от Москва-Сити. 
Рядом находится Парк Красная Пресня и продолжение парка Красногвардейские пруды.
Вся необходимая инфраструктура: уютные кафе, магазины, красивый парк, пешая доступность до  станции метро Выставочная всего 7 минут пешком. 
Дизайн выполнен в современном стиле с яркими акцентами. 
Вид, уют, дизайнерская мебель, текстиль и уникальные элементы декора подарят незабываемые ощущения комфорта. 
Действующая ипотека, проблем по документам никаких нет.
Готовый арендный бизнес с хорошим заработком или для личного проживания.",https://www.cian.ru/sale/flat/289080072/,2000.0,2,22,"2,7",1 совмещенный,Во двор,Дизайнерский,П-44,3 пассажирских,Железобетонные,Наземная,3.0,Центральное,Нет,553 333 ₽/м²,свободная продажа,возможна,10,3,,Монолитный,,Да,,,
289079575,14 990 000,2,Вторичка,"43,5","Москва, САО, р-н Головинский, Кронштадтский бул., 6к4",ЖК «Водный»,"Уютные аппартаменты с качественным ремонтом,мебелью и техникой, на 4 этаже монолитного дома, в жилом комплексе Водный расположен в 5 минутах ходьбы от Станции Водный стадион. 
Функциональная планировка, просторная кухня 9 кв.м.Изолированная комната 12 кв.м.
Кухня Мария. Встроенная техника фирмы Bosh и Librherr. Санузел совмещен.
Подземный паркинг,охраняемая территория,на первых этажах открыты пекарни,кофейни,салоны,аптеки и тд.По подземному паркингу можно пройти в ТЦ.
в Паркинге в доме есть мойка.
В шаговой доступности прогулочные зоны, парк Дружбы,Головинские Пруды.

Документы:
1 взрослый собственник.Без обременений и долгов.Свободная продажа более 5 лет в собственности,рассмотрим любой вид платежа за исключением рассрочки.",https://www.cian.ru/sale/flat/289079575/,2015.0,4,26,"3,2",1 совмещенный,Во двор,Евроремонт,,"2 пассажирских, 2 грузовых",Железобетонные,Подземная,1.0,Центральное,Нет,344 598 ₽/м²,свободная продажа,возможна,,9,1 балкон,Монолитный,,Нет,,,
289078916,18 700 000,3,Вторичка,74,"Москва, ЮЗАО, р-н Ясенево, проезд Одоевского, 11К1",,"Дом расположен вдалеке  от дорог, полностью во дворе с окнами и выходом в Ясеневский парк. 

В этой квартире Вы будете иметь прекрасную возможность- жить в уютной квартире, рядом с природным парком и озером, и  приглашать друзей в гости на пикники с барбекю - эта большая редкость в черте старой Москвы. 

Во дворе современные детские и спортивные площадки, за домом православная гимназия и 2 школы, чуть дальше - детские садики. 

Отличная транспортная доступность на личном и общественном транспорте! Прекрасная экология!!!!

В районе имеются все необходимые условия для комфортной и счастливой   жизни!!!

Общая 73 кв.м
Жилая  44 кв.м 
Комнаты : 18 + 13 + 13 
кухня 10 кв. м 
Санузел раздельный  
Видовой 15 этаж

В квартире только закончен ремонт в классическом стиле с элементами барокко! 

Свободная продажа! 

Полная стоимость в ДКП

Быстрый выход на сделку!

Возможен обмен , взаимозачёт , trade-in Вашего жилья. 

ПРЕДЛОЖЕНИЕ ДЛЯ ТЕХ, КТО ХОЧЕТ СТАТЬ СОБСТВЕННИКОМ ДОСТОЙНОГО И КОМФОРТНО ЖИЛЬЯ В  ЭКОЛОГИЧЕСКИ ЧИСТОМ РАЙОНЕ СТОЛИЦЫ !!!",https://www.cian.ru/sale/flat/289078916/,1981.0,15,16,"2,7",1 раздельный,Во двор,Евроремонт,П-3,"1 пассажирский, 1 грузовой",Железобетонные,Наземная,2.0,Центральное,Нет,252 703 ₽/м²,свободная продажа,возможна,43,11,"1 лоджия, 1 балкон",,,Да,,,
289080069,9 000 000,1,Вторичка,38,"Москва, СВАО, р-н Лианозово, Абрамцевская ул., 3",,"Предлагаем Вашему вниманию однокомнатную квартиру в пешеходной доступности от м. Алтуфьево!
Подъезд чистый, ухоженный, установлен домофон. Окна выходят в тихий зеленый двор.
Светлая, уютная квартира в жилом состоянии! Новые стеклопакеты установлены в 2021г.
Светлая, уютная квартира в жилом состоянии. 
Санузел раздельный, большая застекленная лоджия. 
Документы на квартиру - наследство от папы к сыну 2018г., один взрослый собственник.
Квартира подходит под ипотеку, собран полный пакет документов для банка!
Свободная продажа, быстрый выход на сделку.
 Развитая инфраструктура: детский сад и школа во дворе, Сбербанк, магазины, обустроенный двор с детскими и спортивными площадками.
 Рядом с домом обустроенные детские и спортивные площадки, в пешеходной доступности располагаются усадьба Алтуфьево и Лианозовский парк.  Рядом расположен детский центр ""Водолей"", кукольный театр, детская школа восточных единоборств, музыкальная школа, фитнес-клуб X-Fit с бассейном и теннисным кортом, рядом  детская поликлиника, Диагностический центр для взрослых, Храм, в пешеходной доступности ТЦ Ашан, Декатлон, О'Key, Леруа-Мерлен, Лианозовский ПКиО с живописными прудам, теннисными кортами и конным комплексом.",https://www.cian.ru/sale/flat/289080069/,1977.0,2,12,"2,5",1 раздельный,Во двор,Косметический,1605-АМ,2 пассажирских,Железобетонные,Наземная,6.0,Центральное,Нет,236 842 ₽/м²,свободная продажа,возможна,18,7,1 лоджия,Монолитный,,Да,,,
289080024,20 000 000,1,Новостройка,"48,28","Москва, ВАО, р-н Преображенское, ул. 1-я Бухвостова, 1",ЖК «Преображенская площадь»,"ОБЪЕКТ 8301 Продаётся 1-комнатная квартира в строящемся доме (Корпус 1), срок сдачи: III-кв. 2024, общей площадью 48.28 кв.м., на 10 этаже. Жилой комплекс с подземной автостоянкой, отдельно стоящими ДОУ, БНК (учебный корпус) и многофункциональным центром.",https://www.cian.ru/sale/flat/289080024/,,10,17,,,,,,,,,,,,414 250 ₽/м²,переуступка,возможна,,"10,8",,Монолитный,,,2024.0,Без отделки,
289080413,19 990 000,2,Вторичка,"55,7","Москва, СВАО, р-н Алексеевский, Маломосковская ул., 21К3",,"Светлая и солнечная просторная двухкомнатная квартира, полностью обставлена и укомплектована под ключ мебелью и техникой, заезжай и живи!

Чистый аккуратный подьезд с консьержем, ухоженная придомовая территория.

Один взрослый собственник
Более 5 лет в собственности

Приглашаем на просмотр!",https://www.cian.ru/sale/flat/289080413/,2006.0,7,22,"2,64",1 совмещенный,Во двор,Евроремонт,,"3 пассажирских, 1 грузовой",Нет информации,Наземная,3.0,Центральное,Нет,358 887 ₽/м²,свободная продажа,возможна,,,1 лоджия,,,Да,,,
289078417,15 000 000,2,Вторичка,47,"Москва, НАО (Новомосковский), Московский поселение, ул. Саларьевская, 9",ЖК «Саларьево парк»,"Лучшее предложение в этом районе,евродвушка с хорошим качественным ремонтом и новой мебелью,импортная техника,встроенная кухня,посудомоечная машина,плита,духовой шкаф,вытяжка,двор без машин,прекрасный вид из окна,квартира полностью готова к проживанию,огороженная территория,приличные соседи,развитая инфраструктура,один взрослый собственник,никто не прописан,без Долгов и залога,маткапитал не использовался,полная стоимость в договоре,ипотека возможна,помощь в одобрении,документы готовы к сделке,оперативный показ",https://www.cian.ru/sale/flat/289078417/,2020.0,11,25,"2,64",1 совмещенный,,Евроремонт,,,Железобетонные,,10.0,Индивидуальный тепловой пункт,Нет,319 149 ₽/м²,свободная продажа,возможна,"29,7",,,Монолитный,,Нет,,,
289078494,9 900 000,1,Вторичка,35,"Москва, ЮЗАО, р-н Коньково, ул. Введенского, 12К1",,"Квартира в доме, который 15 минутах пешком от метро. Также в 15 минутах  Битцевский лесопарк с велодорожками. Через дом - детская и взрослая поликлиники, вокруг школы, детские сады, 5 минут до сетевых магазинов. На улицах много парковочных мест. Солнечная квартира, окна которой выходят в тихий зеленый двор на запад. Чистый подъезд. Два лифта  грузовой и пассажирский. Квартира мебелирована и готова к проживанию. Один взрослый собственник. Подходит под ипотеку.",https://www.cian.ru/sale/flat/289078494/,1974.0,12,12,"2,5",1 совмещенный,Во двор,Косметический,ii-68,"2 пассажирских, 1 грузовой",Железобетонные,Наземная,2.0,Центральное,Нет,282 857 ₽/м²,свободная продажа,возможна,"19,2","7,5",,Панельный,,Да,,,
